wykryte;nienaprawialne;niewykryte;bledy
6174;581;16;6190
6123;580;23;6146
6118;570;24;6142
6146;554;18;6164
5962;566;18;5980
6043;579;14;6057
6030;514;18;6048
6179;603;19;6198
6088;533;11;6099
6095;558;17;6112
6179;546;16;6195
6178;602;18;6196
6184;583;20;6204
6167;544;22;6189
6107;570;27;6134
6123;607;13;6136
6128;554;19;6147
6050;580;24;6074
6172;582;13;6185
6200;589;15;6215
6035;549;18;6053
6215;544;15;6230
6127;600;18;6145
6106;548;11;6117
6108;576;10;6118
6186;547;12;6198
6226;560;22;6248
6058;565;22;6080
6056;566;12;6068
6127;553;17;6144
6164;595;12;6176
6126;561;25;6151
6202;591;11;6213
6095;561;16;6111
6227;606;25;6252
6225;521;21;6246
6084;547;21;6105
6160;599;20;6180
6049;583;16;6065
6122;548;20;6142
6162;609;22;6184
6299;596;13;6312
6127;562;27;6154
6115;592;26;6141
6286;540;11;6297
6140;559;17;6157
6235;572;20;6255
6172;538;27;6199
6135;573;22;6157
6145;574;17;6162
6072;526;19;6091
6148;596;24;6172
6117;581;19;6136
6160;578;19;6179
6241;595;23;6264
6167;615;23;6190
6126;554;11;6137
6216;583;13;6229
6029;587;24;6053
6100;573;12;6112
6243;589;24;6267
6244;589;19;6263
6056;554;19;6075
6129;584;20;6149
6147;599;18;6165
6078;613;22;6100
6227;565;22;6249
6086;561;25;6111
6132;558;16;6148
6102;542;10;6112
6050;571;20;6070
6141;568;20;6161
6172;583;19;6191
6109;520;12;6121
6080;589;12;6092
6159;544;16;6175
6049;556;14;6063
6264;558;17;6281
6161;568;24;6185
6244;591;20;6264
6104;567;16;6120
6203;633;19;6222
6143;622;23;6166
6245;570;16;6261
6077;556;21;6098
6105;598;15;6120
6113;547;14;6127
6126;553;15;6141
6100;560;17;6117
6146;545;13;6159
6123;559;15;6138
6156;575;16;6172
6168;554;16;6184
6054;533;21;6075
6165;558;15;6180
6083;550;17;6100
6140;591;26;6166
6125;598;20;6145
6141;580;20;6161
6087;533;13;6100
6168;565;26;6194
6241;581;20;6261
5984;561;33;6017
6146;594;18;6164
6176;546;11;6187
6172;594;16;6188
6185;569;21;6206
6156;587;19;6175
6192;543;19;6211
