;wykryte;nienaprawialne;niewykryte;bledy
402;6188;523;18;6206
403;6234;581;14;6248
404;6150;572;24;6174
405;6126;589;16;6142
406;6329;616;24;6353
407;6181;549;19;6200
408;6066;576;21;6087
409;6160;560;13;6173
410;6175;608;14;6189
411;6179;610;21;6200
412;6253;544;17;6270
413;6068;550;19;6087
414;6028;563;20;6048
415;6256;584;18;6274
416;6131;543;18;6149
417;6117;577;19;6136
418;6064;517;19;6083
419;6132;589;19;6151
420;6064;584;23;6087
421;6095;564;14;6109
422;6147;548;14;6161
423;6140;560;21;6161
424;6195;617;22;6217
425;6091;586;21;6112
426;6146;591;20;6166
427;6252;611;24;6276
428;6090;578;11;6101
429;6185;598;11;6196
430;6237;655;11;6248
431;6130;578;22;6152
432;6238;563;24;6262
433;6198;583;12;6210
434;6189;565;15;6204
435;6176;560;16;6192
436;6058;565;18;6076
437;6171;563;13;6184
438;6125;586;19;6144
439;6171;532;14;6185
440;6268;544;22;6290
441;6179;548;15;6194
442;6181;559;13;6194
443;6130;566;13;6143
444;6184;578;19;6203
445;6147;564;17;6164
446;6175;548;13;6188
447;6122;619;19;6141
448;6159;585;25;6184
449;6175;557;26;6201
450;6172;567;18;6190
451;6132;594;19;6151
452;6146;583;15;6161
453;6118;557;9;6127
454;6246;553;14;6260
455;6173;605;17;6190
456;6232;597;14;6246
457;6107;550;16;6123
458;6126;599;15;6141
459;6121;568;17;6138
460;6149;600;25;6174
461;6143;597;17;6160
462;6096;569;14;6110
463;6089;614;18;6107
464;6151;522;15;6166
465;6082;586;21;6103
466;6239;590;18;6257
467;6164;563;13;6177
468;6141;563;22;6163
469;6153;573;26;6179
470;6156;566;11;6167
471;6175;535;16;6191
472;6151;559;14;6165
473;6114;557;14;6128
474;6129;613;26;6155
475;6086;538;13;6099
476;6088;535;18;6106
477;6044;527;13;6057
478;6099;539;12;6111
479;6117;615;12;6129
480;6170;563;21;6191
481;6103;589;27;6130
482;6264;573;21;6285
483;6198;544;15;6213
484;6189;546;16;6205
485;6123;548;19;6142
486;6101;575;17;6118
487;6272;607;17;6289
488;6132;586;19;6151
489;6144;642;20;6164
490;6163;555;17;6180
491;6090;573;16;6106
492;6086;564;19;6105
493;6084;557;19;6103
494;6098;535;10;6108
495;6019;592;19;6038
496;6062;547;29;6091
497;6041;585;17;6058
498;6051;530;20;6071
499;6178;564;18;6196
500;6182;583;14;6196
501;6087;569;19;6106
502;6124;570;13;6137
503;6247;571;20;6267
504;6202;652;21;6223
505;6130;552;12;6142
506;6089;560;17;6106
507;6201;595;21;6222
508;6046;533;20;6066
509;6211;554;11;6222
510;6000;586;16;6016
511;6101;603;24;6125
512;6150;540;22;6172
513;6146;557;21;6167
514;6093;552;19;6112
515;6122;581;15;6137
516;6216;587;13;6229
517;6107;586;20;6127
518;6191;576;15;6206
519;6144;567;23;6167
520;6066;554;20;6086
521;6177;577;20;6197
522;6137;548;14;6151
523;6127;569;23;6150
524;6053;568;12;6065
525;6094;619;16;6110
526;6105;556;20;6125
527;6189;554;22;6211
528;6062;595;14;6076
529;6191;628;25;6216
530;6183;524;18;6201
531;6117;552;14;6131
532;6148;554;13;6161
533;6085;582;30;6115
534;6122;527;7;6129
535;6172;564;16;6188
536;6319;577;18;6337
537;6056;578;20;6076
538;6093;572;17;6110
539;6099;589;17;6116
540;6135;581;17;6152
541;6194;633;23;6217
542;6278;539;16;6294
