wykryte;nienaprawione;niewykryte;bledy
709;30;0;709
801;36;0;801
688;28;0;688
741;28;1;742
740;47;2;742
726;38;0;726
710;43;1;711
691;47;1;692
734;40;0;734
749;41;0;749
675;33;0;675
731;41;0;731
750;25;0;750
685;39;0;685
704;36;0;704
746;37;2;748
704;39;0;704
717;32;0;717
721;39;1;722
731;36;0;731
712;29;0;712
732;33;0;732
731;38;0;731
661;35;0;661
700;34;1;701
750;35;1;751
765;40;0;765
741;30;0;741
729;46;1;730
707;38;0;707
672;38;0;672
683;46;1;684
733;38;1;734
688;41;2;690
695;39;0;695
729;40;0;729
717;34;0;717
710;35;0;710
694;38;1;695
737;37;0;737
694;33;0;694
713;29;0;713
722;39;3;725
702;34;0;702
691;28;0;691
730;42;0;730
724;36;0;724
696;40;3;699
714;29;0;714
679;40;1;680
695;36;2;697
753;47;0;753
755;45;0;755
711;32;1;712
711;32;1;712
682;36;2;684
735;46;3;738
722;35;1;723
699;37;0;699
734;36;2;736
718;29;1;719
694;38;1;695
691;34;0;691
769;39;1;770
722;38;0;722
683;33;1;684
751;38;1;752
720;41;0;720
706;36;1;707
718;32;1;719
740;35;1;741
735;31;0;735
724;38;1;725
708;39;1;709
717;36;0;717
720;30;1;721
737;35;1;738
666;33;2;668
709;36;0;709
735;50;0;735
739;41;4;743
704;32;0;704
718;39;2;720
705;36;0;705
731;36;0;731
722;44;1;723
734;31;1;735
705;22;1;706
710;34;0;710
701;36;0;701
722;28;1;723
730;48;2;732
679;29;1;680
747;31;1;748
682;40;1;683
714;30;1;715
697;42;0;697
722;52;1;723
706;39;0;706
744;43;0;744
757;46;2;759
661;30;0;661
670;40;0;670
737;36;0;737
739;28;0;739
720;38;0;720
710;30;1;711
699;32;1;700
678;42;1;679
731;45;1;732
721;45;3;724
687;39;2;689
763;37;0;763
716;32;1;717
722;25;1;723
698;44;0;698
757;53;2;759
728;47;1;729
710;37;1;711
716;39;0;716
723;43;3;726
737;34;1;738
712;51;1;713
689;32;1;690
757;45;0;757
707;37;0;707
711;33;4;715
761;43;1;762
704;37;0;704
678;38;0;678
730;31;0;730
723;46;1;724
706;26;0;706
764;34;1;765
653;42;0;653
754;29;0;754
724;38;1;725
701;34;0;701
709;38;0;709
679;32;1;680
683;30;1;684
719;33;0;719
722;33;0;722
717;41;2;719
728;37;1;729
703;31;1;704
710;44;0;710
690;32;0;690
711;36;0;711
647;29;1;648
736;32;1;737
665;32;0;665
694;37;0;694
745;42;0;745
690;32;1;691
735;33;0;735
693;45;0;693
723;31;1;724
723;33;0;723
705;38;2;707
756;35;0;756
660;43;1;661
738;42;0;738
725;41;1;726
746;39;1;747
711;40;1;712
712;36;0;712
701;34;1;702
705;41;2;707
717;46;0;717
700;27;0;700
732;34;2;734
745;39;3;748
660;21;1;661
695;41;0;695
710;38;0;710
712;31;0;712
728;37;0;728
680;41;1;681
706;41;2;708
683;40;3;686
706;29;0;706
677;35;1;678
687;40;0;687
708;38;0;708
710;46;1;711
710;49;0;710
724;40;1;725
704;29;0;704
690;27;0;690
675;31;0;675
686;36;0;686
706;37;0;706
703;31;0;703
691;47;0;691
727;38;0;727
737;42;0;737
677;40;0;677
684;32;0;684
663;28;0;663
722;33;0;722
690;35;0;690
689;41;2;691
701;36;1;702
711;34;0;711
746;43;0;746
712;26;1;713
683;38;1;684
688;35;2;690
704;47;0;704
712;37;0;712
721;45;0;721
746;38;1;747
737;42;0;737
689;38;0;689
710;39;0;710
716;36;1;717
695;39;0;695
724;29;1;725
714;32;2;716
706;37;0;706
695;32;0;695
734;46;0;734
709;41;0;709
681;46;1;682
727;39;0;727
721;25;0;721
711;34;0;711
677;37;3;680
719;35;1;720
657;34;0;657
754;40;2;756
701;34;0;701
704;32;0;704
687;37;1;688
688;35;1;689
750;32;1;751
663;45;0;663
710;32;1;711
726;39;1;727
753;27;0;753
719;27;0;719
722;44;1;723
715;38;2;717
711;32;1;712
682;35;1;683
683;40;1;684
752;36;0;752
737;25;1;738
712;36;0;712
697;36;2;699
750;34;1;751
716;38;1;717
707;37;0;707
728;38;1;729
731;37;1;732
732;32;0;732
728;37;2;730
726;38;1;727
752;41;0;752
721;33;0;721
715;31;1;716
739;40;0;739
713;36;2;715
713;41;1;714
729;33;0;729
746;35;0;746
681;46;0;681
724;33;1;725
757;38;0;757
748;45;0;748
726;32;0;726
706;34;1;707
720;29;0;720
692;30;0;692
719;41;1;720
721;32;0;721
719;34;0;719
755;35;0;755
707;24;0;707
684;35;0;684
687;26;0;687
754;31;0;754
722;40;0;722
703;43;0;703
716;43;0;716
740;30;1;741
717;31;1;718
703;28;1;704
691;25;1;692
699;37;0;699
709;32;1;710
738;38;2;740
741;42;0;741
723;33;1;724
709;35;1;710
702;40;2;704
672;43;0;672
741;30;0;741
727;26;0;727
679;30;0;679
743;35;1;744
743;45;1;744
756;32;0;756
753;42;0;753
719;37;0;719
709;38;2;711
689;27;0;689
720;36;1;721
701;32;0;701
713;35;0;713
722;35;0;722
721;41;0;721
697;42;2;699
702;37;1;703
709;43;0;709
705;28;0;705
737;34;0;737
678;37;2;680
730;35;0;730
715;29;0;715
657;27;0;657
728;33;0;728
736;31;1;737
726;31;2;728
709;38;0;709
638;36;0;638
717;46;0;717
676;33;1;677
709;39;0;709
695;33;2;697
708;32;0;708
698;30;2;700
675;36;0;675
714;38;2;716
693;42;1;694
662;22;0;662
741;45;2;743
736;35;0;736
715;35;1;716
691;38;1;692
700;42;1;701
699;42;2;701
715;38;0;715
706;32;1;707
667;35;1;668
747;32;3;750
679;29;0;679
700;41;3;703
721;31;0;721
722;37;0;722
716;37;3;719
730;35;0;730
705;53;2;707
734;37;0;734
735;49;0;735
675;46;0;675
669;39;1;670
730;37;0;730
691;34;0;691
715;33;2;717
716;46;1;717
703;33;2;705
713;39;1;714
722;28;0;722
712;32;1;713
712;25;1;713
775;46;1;776
725;29;0;725
701;35;2;703
716;37;0;716
718;30;0;718
667;36;0;667
742;36;2;744
741;33;0;741
723;33;0;723
664;42;1;665
693;46;1;694
678;36;0;678
686;26;0;686
722;33;2;724
748;36;0;748
718;40;0;718
747;29;0;747
732;40;0;732
706;42;1;707
697;36;0;697
747;39;1;748
692;33;1;693
713;35;1;714
689;36;1;690
680;42;0;680
711;29;1;712
703;35;2;705
686;43;1;687
713;40;0;713
720;30;0;720
733;38;0;733
697;28;0;697
705;48;1;706
680;40;1;681
667;35;0;667
684;34;1;685
715;28;0;715
722;28;0;722
746;38;0;746
682;49;2;684
741;32;1;742
687;36;1;688
709;39;2;711
711;41;1;712
699;45;1;700
709;49;0;709
720;30;0;720
743;38;0;743
732;42;0;732
723;35;0;723
685;31;0;685
703;27;0;703
710;31;1;711
731;41;0;731
739;45;1;740
682;30;1;683
688;37;0;688
722;42;0;722
718;46;1;719
725;39;2;727
672;33;1;673
707;35;0;707
699;33;1;700
695;34;0;695
709;41;1;710
713;39;0;713
730;34;1;731
710;35;0;710
710;27;0;710
707;31;0;707
734;41;0;734
719;45;0;719
698;38;1;699
712;37;0;712
713;35;0;713
698;29;0;698
751;42;2;753
681;51;2;683
691;32;0;691
738;35;3;741
717;37;1;718
718;41;0;718
682;34;1;683
725;31;0;725
734;48;1;735
762;37;0;762
712;44;1;713
722;31;0;722
695;28;1;696
725;30;0;725
708;29;1;709
731;36;0;731
706;38;0;706
727;41;1;728
728;42;0;728
752;27;0;752
714;32;1;715
707;35;1;708
695;39;0;695
707;48;0;707
696;33;1;697
668;38;3;671
708;35;0;708
723;40;0;723
726;35;1;727
737;29;1;738
687;35;4;691
709;37;0;709
680;31;2;682
676;27;1;677
652;33;0;652
775;42;0;775
705;39;1;706
697;21;1;698
736;51;1;737
751;32;1;752
743;33;2;745
726;33;0;726
654;34;0;654
741;29;1;742
733;30;0;733
672;31;0;672
704;32;1;705
667;30;0;667
721;45;0;721
729;39;1;730
740;34;0;740
715;49;1;716
710;29;0;710
704;40;0;704
688;38;0;688
672;27;0;672
712;33;0;712
726;27;0;726
738;38;1;739
706;37;0;706
698;31;0;698
756;41;1;757
747;42;1;748
698;39;1;699
732;36;0;732
718;34;1;719
687;33;0;687
724;34;1;725
708;47;1;709
715;33;1;716
742;40;1;743
720;28;0;720
729;34;1;730
680;39;2;682
719;31;1;720
708;38;0;708
695;33;1;696
755;36;0;755
693;36;0;693
704;40;0;704
720;33;1;721
720;40;0;720
708;39;0;708
680;28;1;681
689;36;1;690
729;44;0;729
710;34;1;711
706;38;1;707
700;37;1;701
703;33;1;704
750;35;1;751
766;40;1;767
716;35;0;716
688;34;0;688
694;39;1;695
738;45;0;738
726;35;0;726
714;35;0;714
717;41;0;717
668;32;1;669
738;30;0;738
725;38;1;726
706;32;1;707
692;34;1;693
720;34;0;720
731;31;0;731
746;38;1;747
738;48;0;738
743;37;1;744
705;40;1;706
698;49;0;698
703;41;1;704
759;49;0;759
701;32;0;701
722;41;0;722
722;42;1;723
733;34;0;733
699;37;0;699
712;39;0;712
711;30;2;713
736;35;0;736
732;28;1;733
