wykryte;nienaprawione;niewykryte;bledy
744;32;0;744
700;37;0;700
728;33;0;728
720;39;2;722
651;28;1;652
769;35;1;770
689;28;1;690
682;26;0;682
696;37;0;696
695;31;2;697
710;50;1;711
669;34;1;670
716;29;0;716
695;33;0;695
743;28;0;743
726;32;0;726
742;36;1;743
681;29;1;682
701;30;2;703
706;42;0;706
684;25;0;684
699;41;1;700
714;46;0;714
685;31;1;686
699;39;0;699
690;30;1;691
719;32;0;719
720;37;1;721
695;25;1;696
714;37;0;714
718;36;0;718
705;31;0;705
691;34;1;692
665;44;0;665
750;31;1;751
640;36;0;640
724;35;0;724
719;27;0;719
678;31;0;678
690;29;0;690
702;28;1;703
739;35;1;740
702;42;1;703
675;31;0;675
717;45;0;717
695;29;1;696
712;25;0;712
713;39;1;714
695;31;0;695
706;48;0;706
673;28;1;674
745;42;0;745
710;35;1;711
721;33;1;722
741;36;0;741
745;41;0;745
715;34;0;715
735;36;1;736
679;24;0;679
715;47;0;715
745;41;0;745
719;31;1;720
696;33;1;697
708;30;1;709
685;33;0;685
665;28;1;666
723;36;1;724
726;36;1;727
738;33;0;738
713;34;0;713
731;41;0;731
738;30;0;738
718;31;2;720
700;39;0;700
675;35;1;676
713;45;2;715
696;40;2;698
719;44;2;721
753;40;1;754
717;49;1;718
717;31;1;718
725;46;0;725
734;35;1;735
696;39;1;697
707;38;0;707
706;41;0;706
697;33;1;698
706;35;1;707
708;34;0;708
744;39;0;744
693;35;0;693
707;37;2;709
740;31;1;741
732;39;1;733
708;39;0;708
703;33;1;704
698;41;0;698
713;33;0;713
705;36;0;705
712;36;0;712
710;39;0;710
704;32;1;705
686;44;0;686
693;23;2;695
734;42;0;734
712;32;1;713
724;30;1;725
716;33;0;716
685;34;2;687
679;41;0;679
727;35;2;729
671;43;3;674
724;35;1;725
691;36;0;691
718;35;1;719
715;37;2;717
669;30;1;670
723;36;0;723
725;28;0;725
703;46;0;703
713;35;0;713
695;36;0;695
751;35;0;751
727;40;0;727
721;41;1;722
727;42;2;729
